EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1337630400,62.51,62.57,60.85,60.92,61471322
1,62.44,62.95,61.989,62.66,62954723
2,62.56,62.71,61.37,61.93,56951072

